category,sub_category,product_name,Sum of sales
Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,1545.82
Technology,Phones,Avaya 5420 Digital phone,1538.89
Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,1524.53
Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,1501.9
Technology,Phones,LG G2,1499.97
Technology,Accessories,Microsoft Natural Keyboard Elite,1497
Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,1489.33
Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,1474.31
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",1473.3
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1473.11
Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",1469.16
Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",1468.68
Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",1465.75
Technology,Phones,Nortel Meridian M5316 Digital phone,1450.12
Furniture,Chairs,"Global Leather Task Chair, Black",1448.85
Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",1445.26
Technology,Phones,Nokia Lumia 1020,1439.97
Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1438.13
Furniture,Chairs,"Leather Task Chair, Black",1437.48
Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.24
Office Supplies,Paper,Xerox 1893,1434.65
Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1431.94
Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",1427.69
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.88
Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,1426.31
Furniture,Chairs,Global Deluxe Office Fabric Chairs,1420.5
Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1409.52
Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",1400.26
Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1399.8
Furniture,Chairs,"Global Armless Task Chair, Royal Blue",1396.44
Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396.21
Technology,Phones,Avaya IP Phone 1140E VoIP phone,1394.95
Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,1391.4
Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,1386.69
Technology,Phones,Samsung Rugby III,1385.8
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1383.09
Technology,Machines,Cisco SPA525G2 5-Line IP Phone,1379.92
Furniture,Bookcases,Sauder Camden County Collection Library,1368.26
Office Supplies,Storage,Safco Industrial Wire Shelving,1363.06
Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,1360.48
Office Supplies,Envelopes,Airmail Envelopes,1359.67
Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,1343.91
Furniture,Chairs,Novimex Turbo Task Chair,1341.51
Technology,Phones,Apple iPhone 5C,1339.87
Technology,Phones,AT&T 17929 Lendline Telephone,1339.11
Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,1329.9
Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1322.17
Office Supplies,Paper,Xerox 1891,1320.57
Furniture,Bookcases,"Hon Metal Bookcases, Putty",1320.23
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,1320.17
Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,1311.88
Technology,Phones,Nokia Lumia 925,1310.3
Technology,Accessories,Logitech Wireless Marathon Mouse M705,1309.73
Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,1304.13
Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",1296.03
Office Supplies,Binders,GBC Recycled Regency Composition Covers,1291.25
Office Supplies,Storage,Fellowes Recycled Storage Drawers,1287.95
Technology,Machines,Star Micronics TSP800 TSP847IIU Receipt Printer,1286.85
Technology,Phones,Panasonic KX TS208W Corded phone,1283.54
Office Supplies,Storage,Tennsco Industrial Shelving,1281.45
Office Supplies,Paper,White Computer Printout Paper by Universal,1279.08
Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,1268.92
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.69
Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,1266.72
Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",1264.58
Furniture,Bookcases,Bush Somerset Collection Bookcase,1263.96
Technology,Phones,Panasonic KX T7736-B Digital phone,1259.58
Technology,Accessories,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,1247.84
Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,1243.78
Furniture,Chairs,Hon Valutask Swivel Chairs,1242.06
Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",1240.04
Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1233.41
Technology,Accessories,Maxell 4.7GB DVD-R,1231.69
Furniture,Tables,Hon 4060 Series Tables,1231.56
Technology,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,1229.83
Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,1229.76
Office Supplies,Paper,Xerox 1917,1222.75
Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,1221.82
Office Supplies,Binders,Satellite Sectional Post Binders,1219.83
Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1217.1
Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,1212.71
Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,1207.19
Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1200.93
Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",1193.81
Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,1187.56
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",1184.23
Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,1184.03
Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,1180.7
Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,1166.44
Technology,Phones,GE 30522EE2,1159.9
Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,1154.67
Technology,Phones,LG Exalt,1154.32
Technology,Accessories,Logitech Illuminated - Keyboard,1139.81
Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,1135.02
Office Supplies,Storage,"File Shuttle II and Handi-File, Black",1125.14
Technology,Phones,HTC One,1119.9
Technology,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,1119.83
Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.2
Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",1117.43
Office Supplies,Storage,Advantus Rolling Drawer Organizers,1115.92
Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.63
Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,1114.39
Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02
Technology,Phones,netTALK DUO VoIP Telephone Service,1112.79
Technology,Accessories,Hypercom P1300 Pinpad,1108.8
Office Supplies,Paper,Xerox 1988,1102.89
Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,1100.48
Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,1100.4
Office Supplies,Paper,Xerox 1906,1098.64
Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",1098.51
Office Supplies,Paper,Xerox 1934,1097.21
Office Supplies,Binders,Catalog Binders with Expanding Posts,1089.93
Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64
Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,1087.92
Technology,Accessories,Maxell LTO Ultrium - 800 GB,1086.01
Technology,Phones,RCA Visys Integrated PBX 8-Line Router,1085.24
Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,1073.91
Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,1073.67
Office Supplies,Storage,Carina Media Storage Towers in Natural & Black,1073.25
Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,1073.12
Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders,1072.63
Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.34
Technology,Phones,AT&T 1070 Corded Phone,1070.3
Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.62
Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,1053.03
Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1051.78
Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",1047.73
Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",1042.08
Technology,Phones,OtterBox Commuter Series Case - iPhone 5 & 5s,1041.82
Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,1041.67
Furniture,Tables,Balt Split Level Computer Training Table,1040.63
Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,1039.87
Technology,Machines,Star Micronics TSP100 TSP143LAN Receipt Printer,1035.8
Technology,Machines,Okidata B400 Printer,1029.6
Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,1023.35
Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",1016.79
Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.18
Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.98
Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,1007.4
Furniture,Tables,Bevis Rectangular Conference Tables,1007.26
Office Supplies,Paper,Xerox 1916,1004.64
Furniture,Furnishings,"Eldon ""L"" Workstation Diamond Chairmat",1002.93
Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,1002.36
Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,1000.73
Office Supplies,Storage,Home/Office Personal File Carts,980.23
Office Supplies,Paper,Xerox 1909,970.78
Furniture,Chairs,Global Italian Leather Office Chair,969.25
Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,967.85
Office Supplies,Paper,Xerox 1885,960.8
Office Supplies,Paper,Xerox 1914,956.3
Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",953.81
Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,952.16
Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",949.02
Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,948.23
Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",939.09
Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,937.85
Office Supplies,Storage,Steel Personal Filing/Posting Tote,937.46
Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",935.2
Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",929.48
Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,927.78
Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,922.74
Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,917.92
Technology,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder,917.9
Technology,Phones,Cisco SPA508G,910.66
Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,908.7
Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,904.55
Furniture,Chairs,"Global Stack Chair without Arms, Black",901.51
Office Supplies,Binders,Vinyl Sectional Post Binders,901.03
Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,899.75
Office Supplies,Storage,Eldon Portable Mobile Manager,899.31
Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,888.97
Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,884
Technology,Phones,Cisco Small Business SPA 502G VoIP phone,882.1
Furniture,Chairs,"Safco Chair Connectors, 6/Carton",881.19
Office Supplies,Paper,Xerox 1883,881.1
Office Supplies,Paper,Xerox 1960,879.83
Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",873.64
Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",872.26
Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,867.76
Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,867.26
Office Supplies,Paper,Xerox 1913,865.49
Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,858.88
Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.86
Office Supplies,Paper,Green Bar Computer Printout Paper,857.38
Furniture,Bookcases,"Hon Metal Bookcases, Gray",851.76
Office Supplies,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",849.31
Technology,Phones,Panasonic Kx-TS550,846.22
Technology,Phones,Plantronics 81402,844.67
Office Supplies,Binders,GBC VeloBinder Manual Binding System,842.16
Furniture,Furnishings,DAX Wood Document Frame,839.66
Office Supplies,Binders,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",834.6
Technology,Phones,Motorola HK250 Universal Bluetooth Headset,832.24
Furniture,Tables,Balt Solid Wood Rectangular Table,828.1
Office Supplies,Storage,Safco Industrial Shelving,827.12
Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",825.17
Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,823.25
Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.74
Furniture,Chairs,Global Chrome Stack Chair,815.86
Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,812.16
Technology,Phones,Grandstream GXP1160 VoIP phone,803.69
Furniture,Chairs,"Global Stack Chair with Arms, Black",803.47
Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.07
Technology,Accessories,Logitech MX Performance Wireless Mouse,789.82
Furniture,Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,786.9
Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",783.61
Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,780.45
Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,779.87
Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,778.74
Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,775.61
Technology,Accessories,Logitech Trackman Marble Mouse,773.74
Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,770.11
Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",764.69
Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",763.67
Technology,Accessories,Logitech G105 Gaming Keyboard,759.94
Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,759.12
Office Supplies,Paper,Xerox 1951,755.91
Office Supplies,Fasteners,Staples,755.47
Furniture,Bookcases,Sauder Barrister Bookcases,754.73
Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,753.19
Technology,Phones,Clarity 53712,752.28
Furniture,Bookcases,Bush Mission Pointe Library,748.86
Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,746.83
Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,746.17
Office Supplies,Paper,Xerox 1943,743.43
Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",739.81
Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,737.75
Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",729.23
Technology,Phones,RCA ViSYS 25825 Wireless digital phone,727.95
Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.85
Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,723.51
Office Supplies,Paper,Xerox 1964,721.74
Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,718.65
Technology,Phones,Avaya 4621SW VoIP phone,709.92
Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,709.5
Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,708
Furniture,Chairs,SAFCO Folding Chair Trolley,705.32
Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,705.2
Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',704.69
Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71
Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",702.44
Technology,Phones,iHome FM Clock Radio with Lightning Dock,699.9
Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",698.04
Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.2
Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,693.95
Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,689.78
Technology,Phones,Samsung Convoy 3,688.14
Office Supplies,Paper,Xerox 191,687.31
Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",685.59
Office Supplies,Paper,Tops White Computer Printout Paper,684.74
Office Supplies,Storage,Safco Steel Mobile File Cart,683.55
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",681.45
Furniture,Furnishings,Flat Face Poster Frame,678.25
Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,675.12
Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",673.87
Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,671.8
Office Supplies,Binders,Tuf-Vin Binders,669.5
Office Supplies,Binders,Binding Machine Supplies,667.99
Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,665.68
Office Supplies,Appliances,Fellowes Command Center 5-outlet power strip,664.83
Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",661.94
Office Supplies,Binders,Surelock Post Binders,653.99
Furniture,Tables,Hon 61000 Series Interactive Training Tables,653.12
Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,652.62
Office Supplies,Paper,Xerox 1886,651.44
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.38
Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84
Office Supplies,Labels,Avery 485,639.03
Furniture,Tables,Safco Drafting Table,638.82
Furniture,Furnishings,"Computer Room Manger, 14""",636.61
Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",632.52
Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",626.53
Technology,Phones,Avaya 5410 Digital phone,625.5
Office Supplies,Paper,Xerox 1880,623.74
Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack,619.42
Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",618.56
Technology,Phones,Plantronics MX500i Earset,618.48
Office Supplies,Paper,Xerox 1882,615.78
Office Supplies,Paper,Xerox 1940,615.55
Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,614.05
Office Supplies,Storage,"Companion Letter/Legal File, Black",611.72
Office Supplies,Binders,"Performers Binder/Pad Holder, Black",611.05
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",610.98
Technology,Phones,Motorola L804,607.06
Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,604.75
Office Supplies,Paper,Xerox 1911,603.54
Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,600.46
Technology,Machines,Lexmark 20R1285 X6650 Wireless All-in-One Printer,600
Technology,Phones,Anker Astro 15000mAh USB Portable Charger,599.88
Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",598.31
Technology,Machines,Hewlett-Packard Deskjet 5550 Printer,597.13
Office Supplies,Paper,Xerox 1942,597.06
Technology,Phones,Grandstream GXP2100 Mainstream Business Phone,596.62
Office Supplies,Paper,"Xerox Color Copier Paper, 11"" x 17"", Ream",593.84
Technology,Accessories,Microsoft Wireless Mobile Mouse 4000,591.85
Technology,Phones,Panasonic KX TS3282B Corded phone,590.34
Office Supplies,Paper,Xerox 1910,586.09
Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,583.64
Technology,Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,582.68
Office Supplies,Storage,Fellowes Econo/Stor Drawers,581.58
Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",581.17
Technology,Machines,Canon PC170 Desktop Personal Copier,575.82
Office Supplies,Paper,Xerox 1991,575.57
Furniture,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",575.46
Office Supplies,Labels,Avery 477,573.96
Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,573.65
Office Supplies,Paper,Xerox 1944,573.65
Technology,Phones,PureGear Roll-On Screen Protector,571.71
Technology,Accessories,First Data TMFD35 PIN Pad,571.2
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",570.77
Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",569.24
Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,565.39
Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,563.81
Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,563.03
Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,558.74
Technology,Accessories,Microsoft Natural Ergonomic Keyboard 4000,557.81
Technology,Accessories,Memorex Micro Travel Drive 16 GB,556.45
Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,554.24
Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,552.7
Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,551.9
Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,551.46
Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,549.88
Office Supplies,Appliances,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",546.82
Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",546.19
Technology,Phones,Panasonic Business Telephones KX-T7736,546.06
Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",545.03
Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,543.6
Office Supplies,Paper,Xerox 1884,543.46
Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,542.99
Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.8
Office Supplies,Paper,Xerox 1935,538.15
Technology,Accessories,Memorex Froggy Flash Drive 8 GB,536.05
Furniture,Furnishings,Tensor Computer Mounted Lamp,536.04
Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,533.36
Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,532.16
Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,531.95
Office Supplies,Art,Newell 334,531.71
Office Supplies,Appliances,Staple holder,528.78
Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,527.47
Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",526.61
Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",523.59
Office Supplies,Storage,Space Solutions Industrial Galvanized Steel Shelving.,520.08
Furniture,Tables,Bevis Round Conference Room Tables and Bases,519.94
Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,518.94
Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",518.11
Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,518
Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",517.63
Office Supplies,Paper,Xerox 1889,516.62
Technology,Phones,Cisco SPA112 2 Port Phone Adapter,516.53
Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,516.22
Technology,Phones,Nokia Lumia 521 (T-Mobile),515.83
Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,515.79
Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",514.56
Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,513.72
Office Supplies,Paper,Xerox 1887,512.2
Office Supplies,Art,Newell 319,511.87
Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",508.73
Technology,Machines,Socket Bluetooth Cordless Hand Scanner (CHS),506.28
Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,504.25
Technology,Accessories,Logitech Media Keyboard K200,503.86
Technology,Accessories,"Maxell 74 Minute CD-R Spindle, 50/Pack",503.28
Office Supplies,Paper,Xerox 197,501.88
Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",501.39
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",500.31
Technology,Accessories,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,499.75
Office Supplies,Paper,Xerox 1937,499.61
Technology,Phones,Jensen SMPS-640 - speaker phone,496.58
Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",496.24
Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,496.02
Technology,Phones,GE DSL Phone Line Filter,495.88
Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,495.6
Technology,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,491.84
Technology,Phones,Samsung HM1900 Bluetooth Headset,491.68
Office Supplies,Paper,Xerox 1925,489.48
Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,489.38
Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",488.91
Technology,Phones,Clearsounds A400,488.33
Furniture,Furnishings,24-Hour Round Wall Clock,487.51
Office Supplies,Binders,GBC Recycled VeloBinder Covers,487.34
Office Supplies,Storage,Safco Commercial Shelving,483.71
Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",483.42
Technology,Phones,AT&T CL82213,481.23
