category,sub_category,product_name,Sum of profit
Technology,Machines,Panasonic KX MB2061 Multifunction Printer,179.73
Furniture,Furnishings,"Computer Room Manger, 14""",179.28
Technology,Phones,Panasonic KX TS3282W Corded phone,178.49
Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",178.16
Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,177.66
Technology,Machines,Socket Bluetooth Cordless Hand Scanner (CHS),177.2
Furniture,Furnishings,DAX Wood Document Frame,176.34
Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,172.94
Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",172.24
Office Supplies,Paper,Tops Green Bar Computer Printout Paper,171.29
Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,171.28
Furniture,Chairs,"Safco Chair Connectors, 6/Carton",170.85
Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",169.28
Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,169.2
Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,168.44
Technology,Phones,AT&T 17929 Lendline Telephone,167.37
Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,166.85
Furniture,Furnishings,"Executive Impressions 14""",166.29
Office Supplies,Labels,Avery 505,165.76
Technology,Phones,AT&T 841000 Phone,165.6
Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",165.2
Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,164.87
Technology,Phones,Panasonic Business Telephones KX-T7736,163.82
Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,163.63
Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",162.64
Technology,Phones,Polycom SoundPoint IP 450 VoIP phone,162.61
Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,162.59
Technology,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,162.38
Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",162.05
Office Supplies,Labels,Round Specialty Laser Printer Labels,162.01
Office Supplies,Paper,Xerox 19,159.56
Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,157.96
Technology,Phones,Grandstream GXP1160 VoIP phone,157.7
Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,157.5
Technology,Accessories,Maxell LTO Ultrium - 800 GB,156.45
Office Supplies,Paper,Xerox 226,155.76
Office Supplies,Art,Prismacolor Color Pencil Set,155.55
Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,155.37
Technology,Phones,Panasonic KX TS208W Corded phone,154.81
Office Supplies,Paper,Xerox 1929,154.4
Technology,Phones,Samsung Galaxy Note 3,154
Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,153.96
Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,153.35
Technology,Phones,OtterBox Commuter Series Case - iPhone 5 & 5s,153.32
Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,152.09
Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,151.67
Furniture,Chairs,SAFCO Folding Chair Trolley,151.33
Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",150.97
Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,150.37
Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",149.94
Office Supplies,Envelopes,Multimedia Mailers,149.9
Office Supplies,Storage,"Companion Letter/Legal File, Black",149.53
Technology,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired",148.96
Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",148.37
Furniture,Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,147.94
Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,147.09
Office Supplies,Binders,Vinyl Sectional Post Binders,147.03
Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",146.51
Technology,Phones,AT&T 1080 Corded phone,145.22
Furniture,Furnishings,Tensor Computer Mounted Lamp,144.72
Technology,Phones,Nokia Lumia 1020,144
Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,143.76
Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,143.73
Technology,Phones,Motorola Moto X,142.8
Office Supplies,Paper,Xerox 1979,140.96
Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,140.94
Technology,Machines,Hewlett-Packard Deskjet D4360 Printer,139.99
Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,139.62
Furniture,Chairs,Hon Valutask Swivel Chairs,139.35
Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",139.1
Office Supplies,Paper,Xerox 1933,138.52
Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,138.34
Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",138.32
Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,135.93
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",135.59
Office Supplies,Art,Newell 334,135.3
Technology,Phones,Panasonic KX T7736-B Digital phone,134.96
Technology,Phones,AT&T 1070 Corded Phone,133.8
Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,133.31
Technology,Accessories,Logitech Wireless Headset H600 Over-The-Head Design,133.27
Office Supplies,Labels,Avery 475,133.2
Furniture,Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case",132.83
Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,132.29
Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,132.09
Technology,Phones,AT&T CL82213,131.33
Technology,Phones,RCA Visys Integrated PBX 8-Line Router,130.64
Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,130.48
Technology,Machines,Cisco Desktop Collaboration Experience DX650 IP Video Phone,130.21
Technology,Accessories,Memorex Micro Travel Drive 32 GB,129.97
Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",129.74
Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,129.54
Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",127.6
Technology,Accessories,Maxell DVD-RAM Discs,127.55
Technology,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,127.48
Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,127.44
Furniture,Furnishings,"Howard Miller 12"" Round Wall Clock",127.3
Technology,Accessories,KeyTronic 6101 Series - Keyboard - Black,127.07
Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,126.81
Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",126.69
Technology,Accessories,Memorex Micro Travel Drive 16 GB,126.16
Technology,Phones,HTC One,126
Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",125.8
Furniture,Chairs,"Global Stack Chair with Arms, Black",125.01
Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,124.6
Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",124.13
Office Supplies,Art,Staples in misc. colors,124.06
Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",123.96
Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,123.92
Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",123.53
Office Supplies,Art,Newell 319,123.01
Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,122.97
Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,122.84
Technology,Phones,Motorla HX550 Universal Bluetooth Headset,122.61
Technology,Phones,Panasonic KX - TS880B Telephone,122.43
Technology,Accessories,"Maxell Pro 80 Minute CD-R, 10/Pack",122.36
Office Supplies,Paper,Xerox 1890,122.35
Furniture,Furnishings,Staple-based wall hangings,121.98
Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,120.98
Furniture,Furnishings,Flat Face Poster Frame,120.97
Office Supplies,Storage,Safco Steel Mobile File Cart,120.87
Office Supplies,Paper,Xerox 1992,120.8
Office Supplies,Paper,Xerox 1898,120.75
Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",120.39
Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,120.36
Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",120.34
Technology,Accessories,First Data TMFD35 PIN Pad,119.95
Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",119.74
Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,119.54
Office Supplies,Labels,Avery 473,119.25
Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",118.93
Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",118.61
Technology,Machines,Konica Minolta magicolor 1690MF Multifunction Printer,118.37
Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",118.21
Office Supplies,Appliances,Staple holder,118.01
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",117.49
Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,117.16
Furniture,Chairs,Bevis Steel Folding Chairs,117.07
Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",116.7
Furniture,Furnishings,Coloredge Poster Frame,116.29
Technology,Machines,Okidata B400 Printer,115.83
Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",115.73
Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",115.64
Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",115.3
Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",115.16
Office Supplies,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",113.48
Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",113.28
Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",113.2
Technology,Accessories,Memorex Micro Travel Drive 8 GB,113.1
Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",112.9
Office Supplies,Binders,Trimflex Flexible Post Binders,112.89
Technology,Phones,Plantronics 81402,112.18
Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",111.72
Technology,Machines,Okidata C331dn Printer,111.68
Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,111.55
Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.3
Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",111.28
Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,110.6
Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,110.3
Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpener, Gray",109.8
Technology,Phones,AT&T EL51110 DECT,109.61
Office Supplies,Art,Peel-Off China Markers,109.42
Technology,Accessories,Memorex Mini Travel Drive 32 GB USB 2.0 Flash Drive,109.2
Office Supplies,Art,Boston 1799 Powerhouse Electric Pencil Sharpener,109.11
Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",108.99
Office Supplies,Paper,Embossed Ink Jet Note Cards,108.34
Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,108.1
Technology,Accessories,Microsoft Natural Ergonomic Keyboard 4000,107.66
Furniture,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",107.42
Office Supplies,Binders,GBC Recycled Grain Textured Covers,107.06
Office Supplies,Binders,"Performers Binder/Pad Holder, Black",106.53
Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",106.47
Office Supplies,Binders,Poly Designer Cover & Back,106.34
Office Supplies,Paper,Strathmore Photo Mount Cards,106.32
Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,106.18
Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,106.09
Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",105.49
Office Supplies,Binders,Ibico Standard Transparent Covers,104.83
Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",104.43
Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",103.43
Office Supplies,Fasteners,Advantus Plastic Paper Clips,102.8
Office Supplies,Labels,Avery 50,102.75
Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,102.7
Office Supplies,Binders,GBC Poly Designer Binding Covers,102.44
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",101.79
Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,101
Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,100.98
Office Supplies,Binders,GBC Recycled VeloBinder Covers,100.87
Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,100.66
Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",100.21
Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,100.08
Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",99.57
Technology,Accessories,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,99.55
Furniture,Furnishings,Eldon Wave Desk Accessories,98.99
Furniture,Furnishings,Nu-Dell Executive Frame,98.96
Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",98.26
Office Supplies,Paper,Xerox 188,97.54
Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",97.16
Office Supplies,Paper,Xerox 216,96.94
Furniture,Tables,Hon 4060 Series Tables,96.29
Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",95.27
Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,95.2
Technology,Phones,Panasonic Kx-TS550,95.2
Furniture,Furnishings,Luxo Economy Swing Arm Lamp,94.92
Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",94.77
Technology,Phones,GE 2-Jack Phone Line Splitter,94.76
Office Supplies,Storage,Pizazz Global Quick File,94.61
Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",94.55
Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",94.51
Office Supplies,Art,Newell 345,94.46
Office Supplies,Paper,Petty Cash Envelope,94.36
Office Supplies,Paper,Advantus Motivational Note Cards,94.33
Office Supplies,Paper,Xerox 1938,93.88
Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",93.59
Office Supplies,Art,Newell 34,93.26
Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",93.16
Office Supplies,Paper,Xerox 1912,92.57
Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,92.57
Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,92.48
Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,92.11
Office Supplies,Paper,Computer Printout Paper with Letter-Trim Fine Perforations,91.97
Technology,Accessories,Microsoft Arc Touch Mouse,91.12
Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,91.1
Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",91.04
Technology,Phones,RCA ViSYS 25825 Wireless digital phone,91
Office Supplies,Appliances,3M Office Air Cleaner,90.93
Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",90.75
Office Supplies,Storage,Advantus Rolling Storage Box,90.71
Office Supplies,Storage,Mobile Personal File Cube,90.63
Office Supplies,Paper,Xerox 214,90.45
Office Supplies,Binders,Clear Mylar Reinforcing Strips,90.27
Office Supplies,Binders,Avery Legal 4-Ring Binder,90.21
Office Supplies,Paper,Xerox 209,90.19
Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",90.05
Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,89.98
Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,89.97
Technology,Phones,AT&T SB67148 SynJ,89.75
Office Supplies,Paper,Xerox 1982,89.53
Office Supplies,Paper,Xerox 1931,88.64
Technology,Accessories,Maxell 4.7GB DVD+RW 3/Pack,88.41
Technology,Phones,Jensen SMPS-640 - speaker phone,88.28
Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,88.24
Office Supplies,Envelopes,Quality Park Security Envelopes,88.2
Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",87.97
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",87.7
Office Supplies,Paper,"Wirebound Message Book, 4 per Page",87.69
Technology,Phones,Cisco SPA112 2 Port Phone Adapter,87.38
Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,86.85
Office Supplies,Supplies,Fiskars Softgrip Scissors,86.08
Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",85.8
Office Supplies,Paper,Xerox 225,85.79
Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",85.23
Office Supplies,Binders,Plastic Binding Combs,84.98
Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,84.81
Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,84.5
Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),83.99
Technology,Phones,Nokia Lumia 521 (T-Mobile),83.98
Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,83.7
Office Supplies,Appliances,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,83.37
Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,83.23
Office Supplies,Paper,Xerox 1895,82.83
Office Supplies,Paper,Xerox 1996,81.9
Office Supplies,Paper,Xerox 2,81.83
Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",81.56
Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",81.54
Furniture,Furnishings,Nu-Dell Leatherette Frames,81.46
Office Supplies,Labels,Avery 490,81.4
Office Supplies,Envelopes,"Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box",81.32
Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",80.98
Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,80.91
Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,80.48
Technology,Phones,Avaya 4621SW VoIP phone,79.88
Office Supplies,Paper,Xerox 1892,79.46
Technology,Phones,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",79.31
Office Supplies,Paper,Xerox 1894,78.79
Technology,Accessories,Logitech G105 Gaming Keyboard,78.37
Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,78.25
Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,78.25
Office Supplies,Storage,Sterilite Officeware Hinged File Box,78.09
Office Supplies,Art,SANFORD Major Accent Highlighters,77.87
Office Supplies,Paper,Xerox 1997,77.76
Office Supplies,Paper,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",77.64
Office Supplies,Storage,Eldon Simplefile Box Office,77.13
Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",76.97
Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",76.94
Technology,Phones,"BlueLounge Milo Smartphone Stand, White/Metallic",76.78
Office Supplies,Paper,Xerox 202,76.71
Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,76.47
Office Supplies,Paper,Xerox 1952,76.18
Office Supplies,Paper,Xerox 1918,75.97
Furniture,Furnishings,3M Polarizing Light Filter Sleeves,75.35
Office Supplies,Paper,Xerox 1968,75.35
Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,75.24
Office Supplies,Labels,Avery 486,75.16
Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,74.99
Furniture,Furnishings,Ultra Door Pull Handle,74.78
Office Supplies,Labels,Avery 503,74.51
Office Supplies,Paper,Xerox 1978,74.33
Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",73.93
Office Supplies,Envelopes,Security-Tint Envelopes,73.88
Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",73.86
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",73.73
Office Supplies,Labels,Avery 489,73.27
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",73.19
Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,73.03
Office Supplies,Paper,White GlueTop Scratch Pads,72.79
Technology,Accessories,"Maxell 74 Minute CDR, 10/Pack",72.57
Office Supplies,Supplies,Acme Box Cutter Scissors,72.23
Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",72.07
Office Supplies,Art,Newell 324,72.07
Office Supplies,Binders,Fellowes Binding Cases,71.96
Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),71.27
Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",71.13
Office Supplies,Paper,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",71.04
Office Supplies,Paper,Xerox 195,70.54
Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,70.49
Office Supplies,Paper,Xerox 1973,70.35
Technology,Accessories,Logitech Illuminated Ultrathin Keyboard with Backlighting,70.1
Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,69.99
Technology,Phones,GE DSL Phone Line Filter,69.99
Office Supplies,Paper,Xerox 205,69.46
Furniture,Furnishings,"Career Cubicle Clock, 8 1/4"", Black",68.95
Office Supplies,Paper,Xerox 1905,68.94
Office Supplies,Labels,Avery 499,68.71
Technology,Phones,Clarity 53712,68.64
Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,68.47
Office Supplies,Paper,Xerox 1993,68.44
Office Supplies,Paper,Xerox 192,68.42
Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",68.37
Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,67.94
Office Supplies,Appliances,Holmes Odor Grabber,67.79
Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,67.78
Office Supplies,Storage,X-Rack File for Hanging Folders,67.74
Office Supplies,Storage,Fellowes Super Stor/Drawer,67.72
Office Supplies,Paper,Xerox 1948,67.43
Office Supplies,Paper,Xerox 217,67.38
Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,67.3
Technology,Machines,Canon PC170 Desktop Personal Copier,67.18
Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",67.11
Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,67.05
Technology,Accessories,Micropad Numeric Keypads,66.96
Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,66.69
Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,66.27
Office Supplies,Paper,Xerox 1903,65.54
Furniture,Furnishings,Magnifier Swing Arm Lamp,65.46
Office Supplies,Paper,Southworth 100% Cotton The Best Paper,65.44
Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",65.14
Office Supplies,Paper,Astroparche Fine Business Paper,65.05
Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",64.86
Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",64.74
Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,64.68
Technology,Machines,Texas Instruments TI-34 Scientific Calculator,64.65
Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),64.59
Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,64.41
Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",64.14
Furniture,Chairs,"Global Leather Task Chair, Black",63.89
Office Supplies,Paper,Xerox 23,63.76
Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",63.75
Office Supplies,Storage,Eldon Fold 'N Roll Cart System,63.75
Office Supplies,Art,Stanley Contemporary Battery Pencil Sharpeners,63.01
Office Supplies,Paper,Xerox 203,62.98
Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,62.78
Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",62.66
Office Supplies,Appliances,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",61.52
Office Supplies,Paper,Xerox 1977,61.45
Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,61.44
Furniture,Furnishings,Artistic Insta-Plaque,61.16
Office Supplies,Paper,Xerox 220,60.91
Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",60.9
Office Supplies,Paper,Xerox 1959,60.65
Office Supplies,Paper,Xerox 222,60.65
Office Supplies,Paper,Xerox 1936,60.53
Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,60.43
Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",60.4
Technology,Machines,Hewlett-Packard 300S Scientific Calculator,60.3
Office Supplies,Fasteners,OIC Binder Clips,60.14
Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,60
Office Supplies,Binders,GBC Plastic Binding Combs,59.77
Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,59.6
Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",59.57
Office Supplies,Storage,Letter Size File,59.55
Office Supplies,Storage,Desktop 3-Pocket Hot File,59.51
Office Supplies,Paper,Xerox 1955,59.38
Office Supplies,Paper,Xerox 1930,59.37
Office Supplies,Art,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,59.35
Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",59.28
Furniture,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",59.22
Office Supplies,Paper,Things To Do Today Pad,59.17
Office Supplies,Binders,Canvas Sectional Post Binders,59.07
Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,58.96
Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,58.68
